flight,airline_id,source_city_id,destination_city_id,stop_id,class_id,departure_time,arrival_time,duration,days_left,price
UK-627,3,1,2,2,1,Afternoon,Afternoon,26.67,1,12885
I5-784,2,1,2,2,1,Evening,Early_Morning,15.17,1,12539
AI-9643,6,1,2,2,1,Evening,Afternoon,20.83,1,12938
AI-540,6,1,2,2,1,Night,Morning,11.42,1,12990
AI-429,6,1,2,2,1,Morning,Morning,22.25,1,12990
AI-439,6,1,2,2,1,Early_Morning,Morning,26.0,1,12990
AI-9645,6,1,2,2,1,Afternoon,Afternoon,21.75,1,13086
6E-2193,5,1,2,2,1,Afternoon,Evening,3.83,1,13279
6E-2168,5,1,2,2,1,Evening,Night,4.42,1,13279
6.00E-152,5,1,2,2,1,Morning,Evening,7.67,1,13279
6E-2193,5,1,2,2,1,Afternoon,Night,8.33,1,13279
6E-369,5,1,2,2,1,Night,Morning,10.42,1,13279
UK-899,3,1,2,2,1,Afternoon,Afternoon,23.75,1,13673
AI-764,6,1,2,2,1,Evening,Afternoon,19.5,1,13410
UK-747,3,1,2,2,1,Early_Morning,Afternoon,6.5,1,13935
UK-809,3,1,2,2,1,Evening,Morning,12.42,1,14040
UK-737,3,1,2,2,1,Afternoon,Afternoon,21.08,1,14040
UK-813,3,1,2,2,1,Evening,Night,26.67,1,14093
UK-817,3,1,2,2,1,Evening,Night,28.17,1,14093
UK-813,3,1,2,2,1,Evening,Night,28.25,1,14093
6E-2338,5,1,2,2,1,Afternoon,Night,8.0,1,13767
G8-237,4,1,2,2,1,Afternoon,Night,9.25,1,13932
UK-871,3,1,2,2,1,Night,Afternoon,17.92,1,14408
UK-871,3,1,2,2,1,Night,Night,26.42,1,14408
AI-762,6,1,2,2,1,Night,Afternoon,16.17,1,14250
G8-1404,4,1,2,2,1,Morning,Evening,7.08,1,14539
UK-747,3,1,2,2,1,Early_Morning,Night,13.83,1,14985
AI-512,6,1,2,2,1,Afternoon,Night,7.58,1,14670
AI-537,6,1,2,2,1,Evening,Morning,15.83,1,15195
UK-977,3,1,2,1,1,Evening,Night,2.25,1,15720
UK-809,3,1,2,2,1,Evening,Night,24.42,1,15983
UK-809,3,1,2,2,1,Evening,Night,26.0,1,15983
6.00E-184,5,1,2,2,1,Morning,Afternoon,4.17,1,15720
SG-3002,1,1,2,2,1,Early_Morning,Morning,4.25,1,15720
6E-2102,5,1,2,2,1,Early_Morning,Afternoon,5.08,1,15720
AI-801,6,1,2,2,1,Evening,Night,29.33,1,16245
UK-637,3,1,2,2,1,Evening,Night,4.42,1,16613
UK-747,3,1,2,2,1,Early_Morning,Night,17.0,1,16665
UK-835,3,1,2,2,1,Evening,Night,26.67,1,16665
AI-764,6,1,2,2,1,Evening,Night,27.17,1,16455
AI-531,6,1,2,2,1,Evening,Night,24.75,1,16665
UK-817,3,1,2,2,1,Evening,Night,5.75,1,17348
UK-819,3,1,2,2,1,Afternoon,Night,7.58,1,17348
UK-801,3,1,2,2,1,Morning,Night,12.75,1,17348
UK-815,3,1,2,2,1,Morning,Night,13.75,1,17348
UK-813,3,1,2,2,1,Evening,Morning,17.83,1,17348
UK-705,3,1,2,2,1,Early_Morning,Afternoon,5.5,1,17400
UK-707,3,1,2,2,1,Evening,Afternoon,19.5,1,17505
UK-737,3,1,2,2,1,Afternoon,Night,7.58,1,17610
AI-762,6,1,2,2,1,Night,Night,23.83,1,17295
UK-673,3,1,2,2,1,Afternoon,Evening,5.0,1,17663
AI-839,6,1,2,2,1,Night,Night,26.5,1,18030
UK-879,3,1,2,2,1,Evening,Afternoon,20.83,1,18398
UK-705,3,1,2,2,1,Early_Morning,Night,12.83,1,18450
G8-191,4,1,2,2,1,Morning,Evening,8.92,1,18487
UK-819,3,1,2,2,1,Afternoon,Night,6.0,1,18923
UK-801,3,1,2,2,1,Morning,Night,11.17,1,18923
UK-815,3,1,2,2,1,Morning,Night,12.17,1,18923
UK-809,3,1,2,2,1,Evening,Morning,15.58,1,19238
UK-835,3,1,2,2,1,Evening,Morning,15.75,1,19920
AI-767,6,1,2,2,1,Afternoon,Night,7.92,1,19710
AI-401,6,1,2,2,1,Early_Morning,Night,13.25,1,19710
UK-705,3,1,2,2,1,Early_Morning,Night,16.0,1,20130
AI-473,6,1,2,2,1,Evening,Evening,22.75,1,19815
UK-707,3,1,2,2,1,Evening,Night,6.0,1,21075
G8-213,4,1,2,2,1,Morning,Evening,6.33,1,21111
AI-409,6,1,2,2,1,Morning,Evening,7.25,1,23206
AI-429,6,1,2,2,1,Morning,Afternoon,30.08,1,24540
AI-401,6,1,2,2,1,Early_Morning,Evening,11.0,1,25800
UK-837,3,1,2,2,1,Evening,Morning,18.25,1,27270
AI-877,6,1,2,2,1,Morning,Evening,6.08,1,29580
SG-8803,1,1,2,1,1,Early_Morning,Morning,2.25,2,5953
SG-8169,1,1,2,1,1,Evening,Night,2.33,2,5953
UK-927,3,1,2,1,1,Morning,Morning,2.08,2,5955
UK-985,3,1,2,1,1,Evening,Night,2.17,2,5955
UK-977,3,1,2,1,1,Evening,Night,2.25,2,5955
UK-963,3,1,2,1,1,Morning,Morning,2.33,2,5955
UK-955,3,1,2,1,1,Evening,Night,2.33,2,5955
UK-953,3,1,2,1,1,Night,Night,2.17,2,6060
G8-334,4,1,2,1,1,Early_Morning,Morning,2.17,2,5954
G8-336,4,1,2,1,1,Afternoon,Evening,2.25,2,5954
G8-346,4,1,2,1,1,Evening,Night,2.25,2,5954
G8-330,4,1,2,1,1,Night,Night,2.25,2,5954
G8-338,4,1,2,1,1,Morning,Afternoon,2.33,2,5954
G8-323,4,1,2,1,1,Evening,Night,2.33,2,5954
6E-5001,5,1,2,1,1,Early_Morning,Morning,2.17,2,5955
6E-2046,5,1,2,1,1,Evening,Evening,2.17,2,5955
6E-5041,5,1,2,1,1,Evening,Night,2.17,2,5955
6.00E-218,5,1,2,1,1,Morning,Afternoon,2.25,2,5955
6E-549,5,1,2,1,1,Afternoon,Evening,2.25,2,5955
6E-6722,5,1,2,1,1,Night,Night,2.25,2,5955
SG-8157,1,1,2,1,1,Early_Morning,Morning,2.33,2,5955
6E-6278,5,1,2,1,1,Morning,Morning,2.33,2,5955
6E-5328,5,1,2,1,1,Morning,Morning,2.5,2,5955
I5-764,2,1,2,1,1,Early_Morning,Early_Morning,2.17,2,5956
AI-868,6,1,2,1,1,Evening,Evening,2.0,2,5955
AI-887,6,1,2,1,1,Early_Morning,Morning,2.08,2,5955
AI-665,6,1,2,1,1,Early_Morning,Morning,2.17,2,5955
AI-805,6,1,2,1,1,Evening,Night,2.17,2,5955
AI-624,6,1,2,1,1,Evening,Night,2.25,2,5955
I5-747,2,1,2,2,1,Evening,Early_Morning,12.25,2,5949
I5-747,2,1,2,2,1,Evening,Morning,16.33,2,5949
G8-188,4,1,2,2,1,Early_Morning,Night,12.33,2,5954
G8-103,4,1,2,2,1,Evening,Early_Morning,12.33,2,5954
AI-636,6,1,2,2,1,Afternoon,Evening,3.5,2,5955
AI-441,6,1,2,2,1,Evening,Night,3.75,2,5955
UK-995,3,1,2,1,1,Morning,Afternoon,2.25,2,6375
UK-951,3,1,2,1,1,Afternoon,Evening,2.17,2,7530
UK-933,3,1,2,1,1,Afternoon,Evening,2.17,2,7530
UK-945,3,1,2,1,1,Morning,Afternoon,2.33,2,7530
I5-784,2,1,2,2,1,Evening,Early_Morning,15.17,2,7419
6E-6202,5,1,2,1,1,Morning,Afternoon,2.17,2,7845
6E-2022,5,1,2,2,1,Early_Morning,Evening,10.25,2,8396
SG-2976,1,1,2,2,1,Evening,Night,4.5,2,8869
SG-2976,1,1,2,2,1,Evening,Morning,15.25,2,9183
AI-469,6,1,2,2,1,Early_Morning,Afternoon,7.25,2,9840
AI-542,6,1,2,2,1,Morning,Night,14.17,2,9840
AI-560,6,1,2,2,1,Morning,Night,15.75,2,9840
UK-683,3,1,2,2,1,Afternoon,Afternoon,25.58,2,10566
AI-403,6,1,2,2,1,Afternoon,Evening,6.33,2,10303
6E-2154,5,1,2,2,1,Morning,Afternoon,4.08,2,10523
AI-9843,6,1,2,2,1,Early_Morning,Afternoon,9.75,2,10523
UK-871,3,1,2,2,1,Night,Night,26.42,2,11048
6E-2168,5,1,2,2,1,Evening,Night,4.42,2,10838
6E-2193,5,1,2,2,1,Afternoon,Night,8.33,2,10838
6E-369,5,1,2,2,1,Night,Morning,10.42,2,10838
AI-544,6,1,2,2,1,Evening,Night,6.67,2,11100
6E-2338,5,1,2,2,1,Afternoon,Night,8.0,2,11326
6.00E-282,5,1,2,3,1,Morning,Evening,9.67,2,11678
UK-809,3,1,2,2,1,Evening,Morning,12.42,2,12150
UK-813,3,1,2,2,1,Evening,Morning,14.67,2,12150
UK-817,3,1,2,2,1,Evening,Morning,16.17,2,12150
UK-815,3,1,2,2,1,Morning,Morning,24.17,2,12150
6E-2193,5,1,2,2,1,Afternoon,Evening,3.83,2,11814
6.00E-152,5,1,2,2,1,Morning,Evening,7.67,2,11814
AI-453,6,1,2,2,1,Early_Morning,Afternoon,10.08,2,11900
UK-859,3,1,2,2,1,Morning,Night,12.58,2,12308
UK-637,3,1,2,2,1,Evening,Night,4.42,2,12570
UK-801,3,1,2,2,1,Morning,Morning,23.17,2,12570
UK-829,3,1,2,2,1,Early_Morning,Afternoon,7.0,2,12623
UK-899,3,1,2,2,1,Afternoon,Night,8.25,2,12623
UK-829,3,1,2,2,1,Early_Morning,Night,15.5,2,12623
AI-9857,6,1,2,2,1,Early_Morning,Afternoon,7.25,2,12298
6E-607,5,1,2,2,1,Night,Morning,10.17,2,12302
AI-504,6,1,2,2,1,Night,Night,23.5,2,12465
UK-819,3,1,2,2,1,Afternoon,Morning,18.0,2,12990
AI-885,6,1,2,2,1,Morning,Late_Night,13.25,2,12675
SG-2277,1,1,2,2,1,Afternoon,Evening,25.75,2,12850
AI-540,6,1,2,2,1,Night,Morning,11.42,2,12990
AI-885,6,1,2,2,1,Morning,Night,11.5,2,12990
AI-762,6,1,2,2,1,Night,Afternoon,16.17,2,12990
AI-764,6,1,2,2,1,Evening,Afternoon,19.5,2,12990
AI-885,6,1,2,2,1,Morning,Morning,21.42,2,12990
G8-719,4,1,2,2,1,Early_Morning,Night,14.25,2,13069
G8-188,4,1,2,2,1,Early_Morning,Afternoon,7.75,2,13321
UK-879,3,1,2,2,1,Evening,Night,5.33,2,13673
UK-737,3,1,2,2,1,Afternoon,Afternoon,21.08,2,13830
UK-817,3,1,2,2,1,Evening,Night,5.75,2,14093
UK-815,3,1,2,2,1,Morning,Night,12.17,2,14093
UK-815,3,1,2,2,1,Morning,Night,13.75,2,14093
AI-537,6,1,2,2,1,Evening,Morning,15.83,2,13830
G8-266,4,1,2,2,1,Early_Morning,Evening,11.75,2,14129
UK-801,3,1,2,2,1,Morning,Night,11.17,2,14513
UK-801,3,1,2,2,1,Morning,Night,12.75,2,14513
AI-885,6,1,2,2,1,Morning,Evening,5.67,2,14250
G8-119,4,1,2,2,1,Evening,Morning,15.17,2,14409
G8-717,4,1,2,2,1,Evening,Night,4.75,2,14487
UK-819,3,1,2,2,1,Afternoon,Night,6.0,2,14933
UK-819,3,1,2,2,1,Afternoon,Night,7.58,2,14933
UK-706,3,1,2,2,1,Afternoon,Night,7.92,2,15038
UK-809,3,1,2,2,1,Evening,Morning,15.58,2,15353
UK-813,3,1,2,2,1,Evening,Morning,17.83,2,15353
UK-817,3,1,2,2,1,Evening,Morning,19.33,2,15353
UK-809,3,1,2,2,1,Evening,Night,26.0,2,15353
UK-813,3,1,2,2,1,Evening,Night,28.25,2,15353
G8-1404,4,1,2,2,1,Morning,Evening,7.08,2,15117
AI-439,6,1,2,2,1,Early_Morning,Morning,26.0,2,15195
6E-2102,5,1,2,2,1,Early_Morning,Afternoon,5.08,2,15232
AI-465,6,1,2,2,1,Evening,Night,6.25,2,15510
6.00E-184,5,1,2,2,1,Morning,Afternoon,4.17,2,15720
SG-3002,1,1,2,2,1,Early_Morning,Morning,4.25,2,15720
6E-5018,5,1,2,2,1,Afternoon,Night,10.33,2,15720
AI-401,6,1,2,2,1,Early_Morning,Night,13.25,2,16035
UK-839,3,1,2,2,1,Afternoon,Night,9.08,2,16560
UK-833,3,1,2,2,1,Early_Morning,Night,15.42,2,16560
G8-165,4,1,2,2,1,Early_Morning,Afternoon,8.0,2,16823
UK-809,3,1,2,2,1,Evening,Night,24.42,2,17348
UK-813,3,1,2,2,1,Evening,Night,26.67,2,17348
G8-237,4,1,2,2,1,Afternoon,Night,9.25,2,17136
AI-762,6,1,2,2,1,Night,Night,23.83,2,18135
AI-764,6,1,2,2,1,Evening,Night,27.17,2,18135
UK-673,3,1,2,2,1,Afternoon,Evening,5.0,2,19343
UK-627,3,1,2,2,1,Afternoon,Afternoon,26.67,2,19553
UK-705,3,1,2,2,1,Early_Morning,Afternoon,6.5,2,19815
AI-406,6,1,2,2,1,Morning,Afternoon,4.83,2,20445
AI-9809,6,1,2,2,1,Afternoon,Afternoon,25.83,2,21180
AI-512,6,1,2,2,1,Afternoon,Night,8.92,2,22335
G8-286,4,1,2,2,1,Morning,Evening,7.5,2,23281
G8-286,4,1,2,2,1,Morning,Evening,8.83,2,23281
UK-847,3,1,2,2,1,Morning,Afternoon,27.58,2,24488
AI-411,6,1,2,2,1,Early_Morning,Afternoon,8.0,2,24855
UK-737,3,1,2,2,1,Afternoon,Night,28.42,2,25905
UK-705,3,1,2,2,1,Early_Morning,Night,13.83,2,29160
AI-877,6,1,2,2,1,Morning,Evening,6.42,2,29580
SG-8803,1,1,2,1,1,Early_Morning,Morning,2.25,3,5953
SG-8157,1,1,2,1,1,Early_Morning,Morning,2.33,3,5953
SG-8169,1,1,2,1,1,Evening,Night,2.33,3,5953
UK-927,3,1,2,1,1,Morning,Morning,2.08,3,5955
UK-995,3,1,2,1,1,Morning,Afternoon,2.25,3,5955
UK-963,3,1,2,1,1,Morning,Morning,2.33,3,5955
G8-334,4,1,2,1,1,Early_Morning,Morning,2.17,3,5954
G8-346,4,1,2,1,1,Evening,Night,2.25,3,5954
G8-338,4,1,2,1,1,Morning,Afternoon,2.33,3,5954
G8-323,4,1,2,1,1,Evening,Night,2.33,3,5954
6E-5001,5,1,2,1,1,Early_Morning,Morning,2.17,3,5955
6.00E-218,5,1,2,1,1,Morning,Afternoon,2.25,3,5955
6E-6278,5,1,2,1,1,Morning,Morning,2.33,3,5955
6E-5328,5,1,2,1,1,Morning,Morning,2.5,3,5955
I5-764,2,1,2,1,1,Early_Morning,Early_Morning,2.17,3,5956
AI-887,6,1,2,1,1,Early_Morning,Morning,2.08,3,5955
AI-665,6,1,2,1,1,Early_Morning,Morning,2.17,3,5955
AI-805,6,1,2,1,1,Evening,Night,2.17,3,5955
AI-624,6,1,2,1,1,Evening,Night,2.25,3,5955
G8-103,4,1,2,2,1,Evening,Early_Morning,12.33,3,5954
G8-113,4,1,2,2,1,Early_Morning,Night,15.75,3,5954
AI-441,6,1,2,2,1,Evening,Night,3.75,3,5955
UK-985,3,1,2,1,1,Evening,Night,2.17,3,6375
SG-8709,1,1,2,1,1,Evening,Night,2.17,3,6060
SG-8483,1,1,2,2,1,Evening,Early_Morning,13.25,3,6270
UK-977,3,1,2,1,1,Evening,Night,2.25,3,6690
G8-336,4,1,2,1,1,Afternoon,Evening,2.25,3,6532
G8-330,4,1,2,1,1,Night,Night,2.25,3,6532
UK-945,3,1,2,1,1,Morning,Afternoon,2.33,3,7005
AI-868,6,1,2,1,1,Evening,Evening,2.0,3,6795
G8-392,4,1,2,1,1,Afternoon,Evening,2.25,3,7110
6E-2022,5,1,2,2,1,Early_Morning,Evening,10.25,3,7420
6E-2154,5,1,2,2,1,Morning,Afternoon,5.0,3,7583
6E-6202,5,1,2,1,1,Morning,Afternoon,2.17,3,7845
6E-5041,5,1,2,1,1,Evening,Night,2.17,3,8055
6E-2046,5,1,2,1,1,Evening,Evening,2.17,3,8370
6E-549,5,1,2,1,1,Afternoon,Evening,2.25,3,8370
UK-933,3,1,2,1,1,Afternoon,Evening,2.17,3,9525
UK-683,3,1,2,2,1,Afternoon,Afternoon,25.58,3,9988
I5-747,2,1,2,2,1,Evening,Early_Morning,12.25,3,9840
AI-475,6,1,2,2,1,Afternoon,Afternoon,24.58,3,9988
6E-2373,5,1,2,2,1,Afternoon,Evening,6.0,3,10523
UK-829,3,1,2,2,1,Early_Morning,Night,15.5,3,11048
SG-2976,1,1,2,2,1,Evening,Morning,15.25,3,10759
AI-531,6,1,2,2,1,Evening,Night,24.75,3,10785
G8-719,4,1,2,2,1,Early_Morning,Night,14.25,3,10863
6E-369,5,1,2,2,1,Night,Morning,10.42,3,10943
UK-871,3,1,2,2,1,Night,Afternoon,17.92,3,11415
UK-879,3,1,2,2,1,Evening,Afternoon,20.83,3,11415
UK-871,3,1,2,2,1,Night,Night,26.42,3,11415
6E-2168,5,1,2,2,1,Evening,Night,4.42,3,11326
6E-2193,5,1,2,2,1,Afternoon,Night,8.33,3,11326
AI-9643,6,1,2,2,1,Evening,Afternoon,20.83,3,11468
UK-859,3,1,2,2,1,Morning,Night,12.58,3,12098
UK-815,3,1,2,2,1,Morning,Morning,24.17,3,12150
SG-2976,1,1,2,2,1,Evening,Night,4.5,3,11809
6E-2193,5,1,2,2,1,Afternoon,Evening,3.83,3,11814
6.00E-152,5,1,2,2,1,Morning,Evening,7.67,3,11814
AI-479,6,1,2,2,1,Night,Afternoon,16.5,3,11900
6.00E-181,5,1,2,2,1,Early_Morning,Morning,4.83,3,11993
SG-2277,1,1,2,2,1,Afternoon,Evening,25.75,3,12010
G8-286,4,1,2,3,1,Morning,Night,11.0,3,12045
G8-119,4,1,2,2,1,Evening,Morning,15.17,3,12045
AI-504,6,1,2,2,1,Night,Morning,11.33,3,12150
AI-504,6,1,2,2,1,Night,Night,23.83,3,12150
AI-803,6,1,2,2,1,Early_Morning,Morning,26.42,3,12150
G8-717,4,1,2,2,1,Evening,Night,4.75,3,12229
UK-879,3,1,2,2,1,Evening,Night,5.33,3,12623
AI-9645,6,1,2,2,1,Afternoon,Afternoon,24.83,3,12298
UK-951,3,1,2,1,1,Afternoon,Evening,2.17,3,12780
AI-803,6,1,2,2,1,Early_Morning,Night,14.92,3,12465
UK-627,3,1,2,2,1,Afternoon,Afternoon,26.67,3,12885
6E-2092,5,1,2,2,1,Evening,Night,5.33,3,12570
6E-5018,5,1,2,2,1,Afternoon,Night,10.33,3,12570
I5-784,2,1,2,2,1,Evening,Early_Morning,15.17,3,12990
UK-899,3,1,2,2,1,Afternoon,Afternoon,23.75,3,13410
G8-1404,4,1,2,2,1,Morning,Afternoon,5.08,3,13069
G8-1404,4,1,2,2,1,Morning,Evening,7.08,3,13069
AI-9911,6,1,2,2,1,Morning,Afternoon,26.08,3,13086
UK-801,3,1,2,2,1,Morning,Morning,23.17,3,13515
SG-3002,1,1,2,2,1,Early_Morning,Morning,4.25,3,13200
6E-5063,5,1,2,2,1,Afternoon,Night,5.42,3,13279
AI-411,6,1,2,2,1,Early_Morning,Afternoon,8.0,3,13515
UK-809,3,1,2,2,1,Evening,Morning,12.42,3,14040
UK-809,3,1,2,2,1,Evening,Night,24.42,3,14040
UK-809,3,1,2,2,1,Evening,Night,26.0,3,14040
6E-2102,5,1,2,2,1,Early_Morning,Afternoon,5.08,3,13767
UK-637,3,1,2,2,1,Evening,Night,4.42,3,14565
UK-835,3,1,2,2,1,Evening,Morning,15.75,3,14565
UK-835,3,1,2,2,1,Evening,Night,26.67,3,14565
UK-833,3,1,2,2,1,Early_Morning,Morning,28.5,3,14565
G8-266,4,1,2,2,1,Early_Morning,Evening,11.75,3,14235
AI-764,6,1,2,2,1,Evening,Afternoon,19.5,3,14250
UK-899,3,1,2,2,1,Afternoon,Night,8.25,3,14618
UK-813,3,1,2,2,1,Evening,Morning,14.67,3,14775
UK-813,3,1,2,2,1,Evening,Night,26.67,3,14775
UK-813,3,1,2,2,1,Evening,Night,28.25,3,14775
6E-2338,5,1,2,2,1,Afternoon,Night,8.0,3,14744
UK-815,3,1,2,2,1,Morning,Night,13.75,3,15353
UK-815,3,1,2,2,1,Morning,Morning,27.33,3,15353
UK-737,3,1,2,2,1,Afternoon,Night,28.42,3,15405
AI-762,6,1,2,2,1,Night,Afternoon,16.17,3,15090
6E-7403,5,1,2,2,1,Early_Morning,Evening,8.67,3,15232
6E-607,5,1,2,2,1,Night,Morning,10.17,3,15232
UK-953,3,1,2,1,1,Night,Night,2.17,3,15720
UK-955,3,1,2,1,1,Evening,Night,2.33,3,15720
AI-429,6,1,2,2,1,Morning,Afternoon,30.08,3,15405
6E-6722,5,1,2,1,1,Night,Night,2.25,3,15720
6.00E-184,5,1,2,2,1,Morning,Afternoon,4.17,3,15720
6E-2154,5,1,2,2,1,Morning,Evening,9.25,3,15720
AI-540,6,1,2,2,1,Night,Evening,20.42,3,15825
AI-537,6,1,2,2,1,Evening,Evening,24.83,3,15825
AI-801,6,1,2,2,1,Evening,Night,29.33,3,16245
UK-855,3,1,2,2,1,Evening,Afternoon,20.08,3,16665
UK-801,3,1,2,2,1,Morning,Night,12.75,3,16718
G8-165,4,1,2,2,1,Early_Morning,Afternoon,8.0,3,16823
UK-737,3,1,2,2,1,Afternoon,Afternoon,21.08,3,17190
G8-191,4,1,2,2,1,Morning,Evening,8.92,3,16859
UK-809,3,1,2,2,1,Evening,Morning,15.58,3,17243
UK-815,3,1,2,2,1,Morning,Night,12.17,3,17348
G8-237,4,1,2,2,1,Afternoon,Night,7.5,3,17136
AI-9843,6,1,2,2,1,Early_Morning,Afternoon,9.75,3,17295
UK-813,3,1,2,2,1,Evening,Morning,17.83,3,17978
UK-819,3,1,2,2,1,Afternoon,Morning,18.0,3,18030
UK-837,3,1,2,2,1,Evening,Morning,18.25,3,18135
AI-401,6,1,2,2,1,Early_Morning,Night,13.25,3,18135
UK-801,3,1,2,2,1,Morning,Night,11.17,3,18713
UK-706,3,1,2,2,1,Afternoon,Night,7.92,3,19238
AI-807,6,1,2,2,1,Evening,Morning,15.25,3,19605
AI-502,6,1,2,2,1,Afternoon,Morning,19.08,3,19605
AI-502,6,1,2,2,1,Afternoon,Night,7.58,3,19920
UK-819,3,1,2,2,1,Afternoon,Night,7.58,3,21233
UK-847,3,1,2,2,1,Morning,Afternoon,27.58,3,21285
G8-213,4,1,2,2,1,Morning,Evening,6.33,3,21899
AI-506,6,1,2,2,1,Morning,Morning,22.83,3,22755
UK-819,3,1,2,2,1,Afternoon,Night,6.0,3,23228
AI-406,6,1,2,2,1,Morning,Afternoon,4.83,3,22965
AI-506,6,1,2,2,1,Morning,Night,11.33,3,23070
G8-300,4,1,2,2,1,Morning,Afternoon,5.92,3,23491
AI-811,6,1,2,2,1,Evening,Afternoon,20.58,3,24225
AI-431,6,1,2,2,1,Afternoon,Afternoon,26.17,3,24225
AI-465,6,1,2,2,1,Evening,Night,6.25,3,24435
AI-9809,6,1,2,2,1,Afternoon,Afternoon,25.83,3,25223
AI-764,6,1,2,2,1,Evening,Night,27.17,3,26325
AI-762,6,1,2,2,1,Night,Night,23.83,3,27165
AI-877,6,1,2,2,1,Morning,Evening,6.42,3,29580
AI-512,6,1,2,2,1,Afternoon,Night,8.92,3,31260
SG-8709,1,1,2,1,1,Evening,Night,2.17,4,5953
SG-1089,1,1,2,1,1,Early_Morning,Morning,2.25,4,5953
SG-1061,1,1,2,1,1,Early_Morning,Morning,2.33,4,5953
SG-8157,1,1,2,1,1,Early_Morning,Morning,2.33,4,5953
SG-1063,1,1,2,1,1,Evening,Night,2.33,4,5953
SG-8169,1,1,2,1,1,Evening,Night,2.33,4,5953
UK-951,3,1,2,1,1,Afternoon,Evening,2.17,4,5955
UK-933,3,1,2,1,1,Afternoon,Evening,2.17,4,5955
UK-985,3,1,2,1,1,Evening,Night,2.17,4,5955
UK-995,3,1,2,1,1,Morning,Afternoon,2.25,4,5955
UK-977,3,1,2,1,1,Evening,Night,2.25,4,5955
UK-945,3,1,2,1,1,Morning,Afternoon,2.33,4,5955
UK-955,3,1,2,1,1,Evening,Night,2.33,4,5955
UK-927,3,1,2,1,1,Morning,Morning,2.08,4,6060
UK-953,3,1,2,1,1,Night,Night,2.17,4,6060
G8-336,4,1,2,1,1,Afternoon,Evening,2.25,4,5954
G8-392,4,1,2,1,1,Afternoon,Evening,2.25,4,5954
G8-346,4,1,2,1,1,Evening,Night,2.25,4,5954
G8-330,4,1,2,1,1,Night,Night,2.25,4,5954
G8-338,4,1,2,1,1,Morning,Afternoon,2.33,4,5954
